"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"str_zp_serverrack_desc","Стійка серверів для зберігання накопичених дослідницьких даних.","Стійка серверів для зберігання накопичених дослідницьких даних.","Стійка серверів для зберігання накопичених дослідницьких даних.","Стійка серверів для зберігання накопичених дослідницьких даних.","Стійка серверів для зберігання накопичених дослідницьких даних.","Стійка серверів для зберігання накопичених дослідницьких даних.","Стійка серверів для зберігання накопичених дослідницьких даних.","Стійка серверів для зберігання накопичених дослідницьких даних.","Стійка серверів для зберігання накопичених дослідницьких даних.","Стійка серверів для зберігання накопичених дослідницьких даних.","Стійка серверів для зберігання накопичених дослідницьких даних.","Стійка серверів для зберігання накопичених дослідницьких даних.","Стійка серверів для зберігання накопичених дослідницьких даних.","Стійка серверів для зберігання накопичених дослідницьких даних.",
"str_zp_samplefridge","Холодильник зразків","Холодильник зразків","Холодильник зразків","Холодильник зразків","Холодильник зразків","Холодильник зразків","Холодильник зразків","Холодильник зразків","Холодильник зразків","Холодильник зразків","Холодильник зразків","Холодильник зразків","Холодильник зразків","Холодильник зразків",
"str_zp_samplefridge_desc","Холодильник для зберігання біологічних зразків.","Холодильник для зберігання біологічних зразків.","Холодильник для зберігання біологічних зразків.","Холодильник для зберігання біологічних зразків.","Холодильник для зберігання біологічних зразків.","Холодильник для зберігання біологічних зразків.","Холодильник для зберігання біологічних зразків.","Холодильник для зберігання біологічних зразків.","Холодильник для зберігання біологічних зразків.","Холодильник для зберігання біологічних зразків.","Холодильник для зберігання біологічних зразків.","Холодильник для зберігання біологічних зразків.","Холодильник для зберігання біологічних зразків.","Холодильник для зберігання біологічних зразків.",
"str_zp_fieldcase","Польовий науковий кейс","Польовий науковий кейс","Польовий науковий кейс","Польовий науковий кейс","Польовий науковий кейс","Польовий науковий кейс","Польовий науковий кейс","Польовий науковий кейс","Польовий науковий кейс","Польовий науковий кейс","Польовий науковий кейс","Польовий науковий кейс","Польовий науковий кейс","Польовий науковий кейс",
"str_zp_fieldcase_desc","Переносний кейс для збору та транспортування зразків у польових умовах.","Переносний кейс для збору та транспортування зразків у польових умовах.","Переносний кейс для збору та транспортування зразків у польових умовах.","Переносний кейс для збору та транспортування зразків у польових умовах.","Переносний кейс для збору та транспортування зразків у польових умовах.","Переносний кейс для збору та транспортування зразків у польових умовах.","Переносний кейс для збору та транспортування зразків у польових умовах.","Переносний кейс для збору та транспортування зразків у польових умовах.","Переносний кейс для збору та транспортування зразків у польових умовах.","Переносний кейс для збору та транспортування зразків у польових умовах.","Переносний кейс для збору та транспортування зразків у польових умовах.","Переносний кейс для збору та транспортування зразків у польових умовах.","Переносний кейс для збору та транспортування зразків у польових умовах.","Переносний кейс для збору та транспортування зразків у польових умовах.",
"str_zp_eco_pack_bio","Біопакувальник (Вчені)","Bio packer (Scientists)","Біопакувальник (Вчені)","Біопакувальник (Вчені)","Біопакувальник (Вчені)","Біопакувальник (Вчені)","Біопакувальник (Вчені)","Біопакувальник (Вчені)","Біопакувальник (Вчені)","Біопакувальник (Вчені)","Біопакувальник (Вчені)","Біопакувальник (Вчені)","Біопакувальник (Вчені)","Біопакувальник (Вчені)",
"str_zp_eco_pack_bio_desc","Стаціонарна станція Вчених: пакує біологічну сировину у зразки. Покладіть сировину в карго приладу та запустіть цикл.","Scientists' station: packs biological raw material into samples. Load the cargo and start the cycle.","Стаціонарна станція Вчених: пакує біологічну сировину у зразки. Покладіть сировину в карго приладу та запустіть цикл.","Стаціонарна станція Вчених: пакує біологічну сировину у зразки. Покладіть сировину в карго приладу та запустіть цикл.","Стаціонарна станція Вчених: пакує біологічну сировину у зразки. Покладіть сировину в карго приладу та запустіть цикл.","Стаціонарна станція Вчених: пакує біологічну сировину у зразки. Покладіть сировину в карго приладу та запустіть цикл.","Стаціонарна станція Вчених: пакує біологічну сировину у зразки. Покладіть сировину в карго приладу та запустіть цикл.","Стаціонарна станція Вчених: пакує біологічну сировину у зразки. Покладіть сировину в карго приладу та запустіть цикл.","Стаціонарна станція Вчених: пакує біологічну сировину у зразки. Покладіть сировину в карго приладу та запустіть цикл.","Стаціонарна станція Вчених: пакує біологічну сировину у зразки. Покладіть сировину в карго приладу та запустіть цикл.","Стаціонарна станція Вчених: пакує біологічну сировину у зразки. Покладіть сировину в карго приладу та запустіть цикл.","Стаціонарна станція Вчених: пакує біологічну сировину у зразки. Покладіть сировину в карго приладу та запустіть цикл.","Стаціонарна станція Вчених: пакує біологічну сировину у зразки. Покладіть сировину в карго приладу та запустіть цикл.","Стаціонарна станція Вчених: пакує біологічну сировину у зразки. Покладіть сировину в карго приладу та запустіть цикл.",
"str_zp_eco_pack_anom","Пакувальник аномального (Вчені)","Anomaly packer (Scientists)","Пакувальник аномального (Вчені)","Пакувальник аномального (Вчені)","Пакувальник аномального (Вчені)","Пакувальник аномального (Вчені)","Пакувальник аномального (Вчені)","Пакувальник аномального (Вчені)","Пакувальник аномального (Вчені)","Пакувальник аномального (Вчені)","Пакувальник аномального (Вчені)","Пакувальник аномального (Вчені)","Пакувальник аномального (Вчені)","Пакувальник аномального (Вчені)",
"str_zp_eco_pack_anom_desc","Стаціонарна станція Вчених: пакує аномальну сировину у зразки. Покладіть сировину в карго приладу та запустіть цикл.","Scientists' station: packs anomalous raw material into samples. Load the cargo and start the cycle.","Стаціонарна станція Вчених: пакує аномальну сировину у зразки. Покладіть сировину в карго приладу та запустіть цикл.","Стаціонарна станція Вчених: пакує аномальну сировину у зразки. Покладіть сировину в карго приладу та запустіть цикл.","Стаціонарна станція Вчених: пакує аномальну сировину у зразки. Покладіть сировину в карго приладу та запустіть цикл.","Стаціонарна станція Вчених: пакує аномальну сировину у зразки. Покладіть сировину в карго приладу та запустіть цикл.","Стаціонарна станція Вчених: пакує аномальну сировину у зразки. Покладіть сировину в карго приладу та запустіть цикл.","Стаціонарна станція Вчених: пакує аномальну сировину у зразки. Покладіть сировину в карго приладу та запустіть цикл.","Стаціонарна станція Вчених: пакує аномальну сировину у зразки. Покладіть сировину в карго приладу та запустіть цикл.","Стаціонарна станція Вчених: пакує аномальну сировину у зразки. Покладіть сировину в карго приладу та запустіть цикл.","Стаціонарна станція Вчених: пакує аномальну сировину у зразки. Покладіть сировину в карго приладу та запустіть цикл.","Стаціонарна станція Вчених: пакує аномальну сировину у зразки. Покладіть сировину в карго приладу та запустіть цикл.","Стаціонарна станція Вчених: пакує аномальну сировину у зразки. Покладіть сировину в карго приладу та запустіть цикл.","Стаціонарна станція Вчених: пакує аномальну сировину у зразки. Покладіть сировину в карго приладу та запустіть цикл.",
"str_zp_eco_pack_electro","Пакувальник електроніки (Вчені)","Electronics packer (Scientists)","Пакувальник електроніки (Вчені)","Пакувальник електроніки (Вчені)","Пакувальник електроніки (Вчені)","Пакувальник електроніки (Вчені)","Пакувальник електроніки (Вчені)","Пакувальник електроніки (Вчені)","Пакувальник електроніки (Вчені)","Пакувальник електроніки (Вчені)","Пакувальник електроніки (Вчені)","Пакувальник електроніки (Вчені)","Пакувальник електроніки (Вчені)","Пакувальник електроніки (Вчені)",
"str_zp_eco_pack_electro_desc","Стаціонарна станція Вчених: пакує технічну сировину у зразки. Покладіть сировину в карго приладу та запустіть цикл.","Scientists' station: packs technical raw material into samples. Load the cargo and start the cycle.","Стаціонарна станція Вчених: пакує технічну сировину у зразки. Покладіть сировину в карго приладу та запустіть цикл.","Стаціонарна станція Вчених: пакує технічну сировину у зразки. Покладіть сировину в карго приладу та запустіть цикл.","Стаціонарна станція Вчених: пакує технічну сировину у зразки. Покладіть сировину в карго приладу та запустіть цикл.","Стаціонарна станція Вчених: пакує технічну сировину у зразки. Покладіть сировину в карго приладу та запустіть цикл.","Стаціонарна станція Вчених: пакує технічну сировину у зразки. Покладіть сировину в карго приладу та запустіть цикл.","Стаціонарна станція Вчених: пакує технічну сировину у зразки. Покладіть сировину в карго приладу та запустіть цикл.","Стаціонарна станція Вчених: пакує технічну сировину у зразки. Покладіть сировину в карго приладу та запустіть цикл.","Стаціонарна станція Вчених: пакує технічну сировину у зразки. Покладіть сировину в карго приладу та запустіть цикл.","Стаціонарна станція Вчених: пакує технічну сировину у зразки. Покладіть сировину в карго приладу та запустіть цикл.","Стаціонарна станція Вчених: пакує технічну сировину у зразки. Покладіть сировину в карго приладу та запустіть цикл.","Стаціонарна станція Вчених: пакує технічну сировину у зразки. Покладіть сировину в карго приладу та запустіть цикл.","Стаціонарна станція Вчених: пакує технічну сировину у зразки. Покладіть сировину в карго приладу та запустіть цикл.",
"str_zp_eco_proc_bio","Біоаналізатор (Вчені)","Bio analyzer (Scientists)","Біоаналізатор (Вчені)","Біоаналізатор (Вчені)","Біоаналізатор (Вчені)","Біоаналізатор (Вчені)","Біоаналізатор (Вчені)","Біоаналізатор (Вчені)","Біоаналізатор (Вчені)","Біоаналізатор (Вчені)","Біоаналізатор (Вчені)","Біоаналізатор (Вчені)","Біоаналізатор (Вчені)","Біоаналізатор (Вчені)",
"str_zp_eco_proc_bio_desc","Стаціонарна станція Вчених: переробляє біозразки на носії даних. Покладіть зразки в карго приладу та запустіть цикл.","Scientists' station: turns bio samples into data carriers. Load the cargo and start the cycle.","Стаціонарна станція Вчених: переробляє біозразки на носії даних. Покладіть зразки в карго приладу та запустіть цикл.","Стаціонарна станція Вчених: переробляє біозразки на носії даних. Покладіть зразки в карго приладу та запустіть цикл.","Стаціонарна станція Вчених: переробляє біозразки на носії даних. Покладіть зразки в карго приладу та запустіть цикл.","Стаціонарна станція Вчених: переробляє біозразки на носії даних. Покладіть зразки в карго приладу та запустіть цикл.","Стаціонарна станція Вчених: переробляє біозразки на носії даних. Покладіть зразки в карго приладу та запустіть цикл.","Стаціонарна станція Вчених: переробляє біозразки на носії даних. Покладіть зразки в карго приладу та запустіть цикл.","Стаціонарна станція Вчених: переробляє біозразки на носії даних. Покладіть зразки в карго приладу та запустіть цикл.","Стаціонарна станція Вчених: переробляє біозразки на носії даних. Покладіть зразки в карго приладу та запустіть цикл.","Стаціонарна станція Вчених: переробляє біозразки на носії даних. Покладіть зразки в карго приладу та запустіть цикл.","Стаціонарна станція Вчених: переробляє біозразки на носії даних. Покладіть зразки в карго приладу та запустіть цикл.","Стаціонарна станція Вчених: переробляє біозразки на носії даних. Покладіть зразки в карго приладу та запустіть цикл.","Стаціонарна станція Вчених: переробляє біозразки на носії даних. Покладіть зразки в карго приладу та запустіть цикл.",
"str_zp_eco_proc_anom","Аналізатор аномального (Вчені)","Anomaly analyzer (Scientists)","Аналізатор аномального (Вчені)","Аналізатор аномального (Вчені)","Аналізатор аномального (Вчені)","Аналізатор аномального (Вчені)","Аналізатор аномального (Вчені)","Аналізатор аномального (Вчені)","Аналізатор аномального (Вчені)","Аналізатор аномального (Вчені)","Аналізатор аномального (Вчені)","Аналізатор аномального (Вчені)","Аналізатор аномального (Вчені)","Аналізатор аномального (Вчені)",
"str_zp_eco_proc_anom_desc","Стаціонарна станція Вчених: переробляє аномальні зразки на носії даних. Покладіть зразки в карго приладу та запустіть цикл.","Scientists' station: turns anomalous samples into data carriers. Load the cargo and start the cycle.","Стаціонарна станція Вчених: переробляє аномальні зразки на носії даних. Покладіть зразки в карго приладу та запустіть цикл.","Стаціонарна станція Вчених: переробляє аномальні зразки на носії даних. Покладіть зразки в карго приладу та запустіть цикл.","Стаціонарна станція Вчених: переробляє аномальні зразки на носії даних. Покладіть зразки в карго приладу та запустіть цикл.","Стаціонарна станція Вчених: переробляє аномальні зразки на носії даних. Покладіть зразки в карго приладу та запустіть цикл.","Стаціонарна станція Вчених: переробляє аномальні зразки на носії даних. Покладіть зразки в карго приладу та запустіть цикл.","Стаціонарна станція Вчених: переробляє аномальні зразки на носії даних. Покладіть зразки в карго приладу та запустіть цикл.","Стаціонарна станція Вчених: переробляє аномальні зразки на носії даних. Покладіть зразки в карго приладу та запустіть цикл.","Стаціонарна станція Вчених: переробляє аномальні зразки на носії даних. Покладіть зразки в карго приладу та запустіть цикл.","Стаціонарна станція Вчених: переробляє аномальні зразки на носії даних. Покладіть зразки в карго приладу та запустіть цикл.","Стаціонарна станція Вчених: переробляє аномальні зразки на носії даних. Покладіть зразки в карго приладу та запустіть цикл.","Стаціонарна станція Вчених: переробляє аномальні зразки на носії даних. Покладіть зразки в карго приладу та запустіть цикл.","Стаціонарна станція Вчених: переробляє аномальні зразки на носії даних. Покладіть зразки в карго приладу та запустіть цикл.",
"str_zp_eco_proc_electro","Аналізатор електроніки (Вчені)","Electronics analyzer (Scientists)","Аналізатор електроніки (Вчені)","Аналізатор електроніки (Вчені)","Аналізатор електроніки (Вчені)","Аналізатор електроніки (Вчені)","Аналізатор електроніки (Вчені)","Аналізатор електроніки (Вчені)","Аналізатор електроніки (Вчені)","Аналізатор електроніки (Вчені)","Аналізатор електроніки (Вчені)","Аналізатор електроніки (Вчені)","Аналізатор електроніки (Вчені)","Аналізатор електроніки (Вчені)",
"str_zp_eco_proc_electro_desc","Стаціонарна станція Вчених: переробляє технічні зразки на носії даних. Покладіть зразки в карго приладу та запустіть цикл.","Scientists' station: turns technical samples into data carriers. Load the cargo and start the cycle.","Стаціонарна станція Вчених: переробляє технічні зразки на носії даних. Покладіть зразки в карго приладу та запустіть цикл.","Стаціонарна станція Вчених: переробляє технічні зразки на носії даних. Покладіть зразки в карго приладу та запустіть цикл.","Стаціонарна станція Вчених: переробляє технічні зразки на носії даних. Покладіть зразки в карго приладу та запустіть цикл.","Стаціонарна станція Вчених: переробляє технічні зразки на носії даних. Покладіть зразки в карго приладу та запустіть цикл.","Стаціонарна станція Вчених: переробляє технічні зразки на носії даних. Покладіть зразки в карго приладу та запустіть цикл.","Стаціонарна станція Вчених: переробляє технічні зразки на носії даних. Покладіть зразки в карго приладу та запустіть цикл.","Стаціонарна станція Вчених: переробляє технічні зразки на носії даних. Покладіть зразки в карго приладу та запустіть цикл.","Стаціонарна станція Вчених: переробляє технічні зразки на носії даних. Покладіть зразки в карго приладу та запустіть цикл.","Стаціонарна станція Вчених: переробляє технічні зразки на носії даних. Покладіть зразки в карго приладу та запустіть цикл.","Стаціонарна станція Вчених: переробляє технічні зразки на носії даних. Покладіть зразки в карго приладу та запустіть цикл.","Стаціонарна станція Вчених: переробляє технічні зразки на носії даних. Покладіть зразки в карго приладу та запустіть цикл.","Стаціонарна станція Вчених: переробляє технічні зразки на носії даних. Покладіть зразки в карго приладу та запустіть цикл.",
"str_zp_sky_pack_bio","Біопакувальник (Чисте небо)","Bio packer (Clear Sky)","Біопакувальник (Чисте небо)","Біопакувальник (Чисте небо)","Біопакувальник (Чисте небо)","Біопакувальник (Чисте небо)","Біопакувальник (Чисте небо)","Біопакувальник (Чисте небо)","Біопакувальник (Чисте небо)","Біопакувальник (Чисте небо)","Біопакувальник (Чисте небо)","Біопакувальник (Чисте небо)","Біопакувальник (Чисте небо)","Біопакувальник (Чисте небо)",
"str_zp_sky_pack_bio_desc","Стаціонарна станція Чистого неба: пакує біологічну сировину у зразки. Покладіть сировину в карго приладу та запустіть цикл.","Clear Sky station: packs biological raw material into samples. Load the cargo and start the cycle.","Стаціонарна станція Чистого неба: пакує біологічну сировину у зразки. Покладіть сировину в карго приладу та запустіть цикл.","Стаціонарна станція Чистого неба: пакує біологічну сировину у зразки. Покладіть сировину в карго приладу та запустіть цикл.","Стаціонарна станція Чистого неба: пакує біологічну сировину у зразки. Покладіть сировину в карго приладу та запустіть цикл.","Стаціонарна станція Чистого неба: пакує біологічну сировину у зразки. Покладіть сировину в карго приладу та запустіть цикл.","Стаціонарна станція Чистого неба: пакує біологічну сировину у зразки. Покладіть сировину в карго приладу та запустіть цикл.","Стаціонарна станція Чистого неба: пакує біологічну сировину у зразки. Покладіть сировину в карго приладу та запустіть цикл.","Стаціонарна станція Чистого неба: пакує біологічну сировину у зразки. Покладіть сировину в карго приладу та запустіть цикл.","Стаціонарна станція Чистого неба: пакує біологічну сировину у зразки. Покладіть сировину в карго приладу та запустіть цикл.","Стаціонарна станція Чистого неба: пакує біологічну сировину у зразки. Покладіть сировину в карго приладу та запустіть цикл.","Стаціонарна станція Чистого неба: пакує біологічну сировину у зразки. Покладіть сировину в карго приладу та запустіть цикл.","Стаціонарна станція Чистого неба: пакує біологічну сировину у зразки. Покладіть сировину в карго приладу та запустіть цикл.","Стаціонарна станція Чистого неба: пакує біологічну сировину у зразки. Покладіть сировину в карго приладу та запустіть цикл.",
"str_zp_sky_pack_anom","Пакувальник аномального (Чисте небо)","Anomaly packer (Clear Sky)","Пакувальник аномального (Чисте небо)","Пакувальник аномального (Чисте небо)","Пакувальник аномального (Чисте небо)","Пакувальник аномального (Чисте небо)","Пакувальник аномального (Чисте небо)","Пакувальник аномального (Чисте небо)","Пакувальник аномального (Чисте небо)","Пакувальник аномального (Чисте небо)","Пакувальник аномального (Чисте небо)","Пакувальник аномального (Чисте небо)","Пакувальник аномального (Чисте небо)","Пакувальник аномального (Чисте небо)",
